"Carimbo de data/hora","Pesquisadora","Idade ","Sexo ","Escolaridade","Bairro","1) Como vc avalia a administração do Prefeito Geninho:","2) Como vc avalia o Prefeito Geninho:","3) Quais as áreas de serviços prestados pela Administração do Prefeito Geninho que considera boas (escolher 2 das áreas que lidam diretamente com a população):","4) Quais as áreas de serviços prestados pela Administração do Prefeito Geninho que devem melhorar (escolher 3 das áreas que lidam diretamente com a população):","5) Voce votaria no candidato a Governador indicado pelo Prefeito Geninho:","6) Voce votaria no candidato a Deputado Estadual indicado pelo Prefeito Geninho:","7) Nas eleições de 2026, se forem esses os candidatos a Governador, em quem vc votaria?","8) Nas eleições de 2026, em quem vc vai votar para Presidente do Brasil:","9) Nas eleições de 2026, se forem esses os candidatos a Senador, em quem vc votaria?"
"2026/05/26 7:38:26 PM GMT-3","Elvira","60 ou mais anos","Feminino","1- Fundamental Incompleto","Campo Acima","Boa","Ótimo Prefeito","Saúde;Assistência Social","Educação;Limpeza Pública;Segurança","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Nenhum Deles","Renato Casagrande"
"2026/05/26 7:39:24 PM GMT-3","Elvira","16 a 24 anos","Feminino","4- Ensino Medio Completo","Campo Acima","Boa","Regular","Assistência Social;Limpeza Pública","Saúde;Educação;Segurança","Depende do Candidato","Depende do Candidato","NS/NR","Flávio Bolsonaro","NS/NR"
"2026/05/26 7:40:27 PM GMT-3","Elvira","25 a 34 anos","Masculino","2- Fundamental Completo","Campo Acima","Boa","Bom Prefeito","Saúde;Educação","Assistência Social;Limpeza Pública;Segurança","Sim","Sim","Ricardo Ferraço (Governador - MDB)","Flávio Bolsonaro","NS/NR"
"2026/05/26 7:41:29 PM GMT-3","Elvira","16 a 24 anos","Feminino","1- Fundamental Incompleto","Campo Acima","Boa","Bom Prefeito","Saúde;Educação","Agricultura;Pesca;Segurança","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Flávio Bolsonaro","Renato Casagrande"
"2026/05/26 7:42:42 PM GMT-3","Elvira","60 ou mais anos","Masculino","1- Fundamental Incompleto","Campo Acima","Regular","Bom Prefeito","Limpeza Pública;Pesca","Saúde;Educação;Assistência Social","Não","Não","Pazolini (ex-prefeito de Vitória - Republicanos)","Flávio Bolsonaro","Branco/Nulo"
"2026/05/26 7:44:12 PM GMT-3","Elvira","35 a 44 anos","Masculino","3- Ensino Medio Incompleto","Campo Acima","Boa","Bom Prefeito","Saúde;Educação","Assistência Social;Limpeza Pública;Segurança","Não","Não","NS/NR","Flávio Bolsonaro","Rose de Freitas"
"2026/05/26 7:45:09 PM GMT-3","Elvira","25 a 34 anos","Masculino","1- Fundamental Incompleto","Campo Acima","Boa","Bom Prefeito","Educação;Limpeza Pública","Saúde;Assistência Social;Segurança","Sim","Sim","NS/NR","Lula","NS/NR"
"2026/05/26 7:46:05 PM GMT-3","Elvira","35 a 44 anos","Masculino","1- Fundamental Incompleto","Campo Acima","Ruim","Ótimo Prefeito","Limpeza Pública;Segurança","Saúde;Assistência Social;Agricultura","Não","Não","Ricardo Ferraço (Governador - MDB)","Flávio Bolsonaro","NS/NR"
"2026/05/26 7:46:54 PM GMT-3","Elvira","25 a 34 anos","Feminino","1- Fundamental Incompleto","Campo Acima","Boa","Bom Prefeito","Saúde;Limpeza Pública","Educação;Assistência Social;Segurança","Sim","Sim","NS/NR","Flávio Bolsonaro","NS/NR"
"2026/05/26 7:48:06 PM GMT-3","Elvira","25 a 34 anos","Feminino","4- Ensino Medio Completo","Campo Acima","Ótima","Ótimo Prefeito","Saúde;Educação","Assistência Social;Limpeza Pública;Segurança","Depende do Candidato","Depende do Candidato","NS/NR","Flávio Bolsonaro","NS/NR"
"2026/05/26 7:49:11 PM GMT-3","Elvira","45 a 59 anos","Masculino","1- Fundamental Incompleto","Campo Acima","Boa","Ótimo Prefeito","Saúde;Limpeza Pública","Educação;Agricultura;Pesca","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Lula","Renato Casagrande"
"2026/05/26 7:50:54 PM GMT-3","Elvira","16 a 24 anos","Masculino","1- Fundamental Incompleto","Campo Acima","Boa;Regular","Bom Prefeito","Saúde;Limpeza Pública","Educação;Assistência Social;Segurança","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Flávio Bolsonaro","Renato Casagrande"
"2026/05/26 7:52:18 PM GMT-3","Elvira","45 a 59 anos","Feminino","4- Ensino Medio Completo","Campo Acima","Ruim","Bom Prefeito","Agricultura;Limpeza Pública","Saúde;Assistência Social;Segurança","Não","Não","Pazolini (ex-prefeito de Vitória - Republicanos)","Flávio Bolsonaro","Maguinha Malta (filha do Senador Magno Malta)"
"2026/05/26 7:53:11 PM GMT-3","Elvira","45 a 59 anos","Masculino","1- Fundamental Incompleto","Campo Acima","Regular","Bom Prefeito","Saúde;Limpeza Pública","Educação;Assistência Social;Segurança","Não","Não","NS/NR","Lula","NS/NR"
"2026/05/26 7:54:39 PM GMT-3","Elvira","45 a 59 anos","Feminino","4- Ensino Medio Completo","Campo Acima","Regular","Bom Prefeito","Saúde;Limpeza Pública","Educação;Assistência Social;Segurança","Sim","Sim","Ricardo Ferraço (Governador - MDB)","Lula","Renato Casagrande"
"2026/05/26 7:56:43 PM GMT-3","Elvira","35 a 44 anos","Masculino","4- Ensino Medio Completo","Campo Acima","Regular","Ótimo Prefeito","Saúde;Agricultura","Educação;Assistência Social;Segurança","Sim","Sim","Ricardo Ferraço (Governador - MDB)","Lula","Renato Casagrande"
"2026/05/26 7:58:02 PM GMT-3","Elvira","35 a 44 anos","Feminino","1- Fundamental Incompleto","Campo Acima","Regular","Ótimo Prefeito","Saúde;Agricultura","Educação;Assistência Social;Segurança","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Nenhum Deles","Renato Casagrande"
"2026/05/26 7:58:58 PM GMT-3","Elvira","16 a 24 anos","Masculino","1- Fundamental Incompleto","Campo Acima","Regular","Regular","Educação;Limpeza Pública","Saúde;Assistência Social;Segurança","Depende do Candidato","Depende do Candidato","NS/NR","NS/NR","NS/NR"
"2026/05/26 7:59:53 PM GMT-3","Elvira","60 ou mais anos","Feminino","1- Fundamental Incompleto","Campo Acima","Regular","Bom Prefeito","Saúde;Limpeza Pública","Educação;Assistência Social;Segurança","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Flávio Bolsonaro","Renato Casagrande"
"2026/05/26 8:12:36 PM GMT-3","Elvira","45 a 59 anos","Masculino","2- Fundamental Completo","Campo Acima","Boa","Ótimo Prefeito","Saúde;Limpeza Pública","Saúde;Assistência Social;Agricultura","Sim","Sim","Ricardo Ferraço (Governador - MDB)","Flávio Bolsonaro","Maguinha Malta (filha do Senador Magno Malta)"
"2026/05/26 8:13:26 PM GMT-3","Elvira","45 a 59 anos","Masculino","7- Pos-graduacao +","Campo Acima","Regular","Bom Prefeito","Limpeza Pública","Saúde;Educação;Assistência Social","Não","Não","Pazolini (ex-prefeito de Vitória - Republicanos)","Nenhum Deles","NS/NR"
"2026/05/26 8:14:09 PM GMT-3","Elvira","16 a 24 anos","Masculino","3- Ensino Medio Incompleto","Campo Acima","Boa","Bom Prefeito","Saúde;Educação","Agricultura;Pesca;Segurança","Não","Não","NS/NR","Flávio Bolsonaro","Renato Casagrande"
"2026/05/26 8:15:11 PM GMT-3","Elvira","45 a 59 anos","Feminino","1- Fundamental Incompleto","Campo Acima","Regular","Bom Prefeito","Assistência Social;Segurança","Saúde;Educação;Limpeza Pública","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Nenhum Deles","NS/NR"
"2026/05/26 8:16:04 PM GMT-3","Elvira","60 ou mais anos","Masculino","1- Fundamental Incompleto","Campo Acima","Regular","","Assistência Social;Segurança","Saúde;Educação;Limpeza Pública","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Nenhum Deles","NS/NR"
"2026/05/26 8:17:19 PM GMT-3","Elvira","25 a 34 anos","Masculino","4- Ensino Medio Completo","Graúna","Boa","Ótimo Prefeito","Assistência Social;Limpeza Pública","Saúde;Educação;Segurança","Sim","Sim","Pazolini (ex-prefeito de Vitória - Republicanos)","Nenhum Deles","Rose de Freitas"
"2026/05/26 8:18:15 PM GMT-3","Elvira","60 ou mais anos","Masculino","1- Fundamental Incompleto","Graúna","Boa","Bom Prefeito","Saúde;Assistência Social","Saúde;Limpeza Pública;Segurança","Sim","Sim","Ricardo Ferraço (Governador - MDB)","Lula","Renato Casagrande"
"2026/05/26 8:19:03 PM GMT-3","Elvira","16 a 24 anos","Feminino","1- Fundamental Incompleto","Graúna","Boa","Bom Prefeito","Assistência Social;Limpeza Pública","Saúde;Educação;Pesca","Sim","Sim","NS/NR","NS/NR","Renato Casagrande"
"2026/05/26 8:19:56 PM GMT-3","Elvira","16 a 24 anos","Feminino","1- Fundamental Incompleto","Graúna","Boa","Bom Prefeito","Assistência Social;Limpeza Pública","Saúde;Educação;Pesca","Depende do Candidato","Depende do Candidato","NS/NR","Lula","Renato Casagrande"
"2026/05/26 8:20:47 PM GMT-3","Elvira","16 a 24 anos","Feminino","2- Fundamental Completo","Graúna","Boa","Regular","Saúde;Educação","Agricultura;Pesca;Segurança","Sim","Sim","Pazolini (ex-prefeito de Vitória - Republicanos)","Nenhum Deles","Renato Casagrande"
"2026/05/26 8:21:45 PM GMT-3","Elvira","45 a 59 anos","Masculino","3- Ensino Medio Incompleto","Graúna","Regular","","Educação;Assistência Social","Saúde;Agricultura;Segurança","Não","Não","Ricardo Ferraço (Governador - MDB)","Flávio Bolsonaro","Renato Casagrande"
"2026/05/26 8:22:41 PM GMT-3","Elvira","16 a 24 anos","Masculino","4- Ensino Medio Completo","Graúna","Boa","","Educação","Saúde;Limpeza Pública;Segurança","Sim","Sim","Ricardo Ferraço (Governador - MDB)","Nenhum Deles","Renato Casagrande"
"2026/05/26 8:23:40 PM GMT-3","Elvira","35 a 44 anos","Masculino","4- Ensino Medio Completo","Graúna","Boa","Bom Prefeito","Saúde;Assistência Social","Educação;Agricultura;Segurança","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Flávio Bolsonaro","Maguinha Malta (filha do Senador Magno Malta)"
"2026/05/26 8:24:38 PM GMT-3","Elvira","16 a 24 anos","Feminino","5- Superior Incompleto","Graúna","Regular","","","Saúde;Educação;Segurança","Não","Não","NS/NR","Nenhum Deles","NS/NR"
"2026/05/26 8:25:27 PM GMT-3","Elvira","25 a 34 anos","Masculino","2- Fundamental Completo","Graúna","Boa","","Educação;Segurança","Saúde;Agricultura;Pesca","Não","Não","NS/NR","Lula","Renato Casagrande"
"2026/05/26 8:26:32 PM GMT-3","Elvira","25 a 34 anos","Feminino","4- Ensino Medio Completo","Graúna","Boa","","Saúde;Educação","Saúde;Assistência Social;Segurança","Depende do Candidato","Depende do Candidato","NS/NR","Flávio Bolsonaro","Renato Casagrande"
"2026/05/26 8:27:57 PM GMT-3","Elvira","35 a 44 anos","Feminino","2- Fundamental Completo","Palmital","Regular","Ótimo Prefeito","Saúde;Educação","Assistência Social;Limpeza Pública;Segurança","Sim","Sim","Ricardo Ferraço (Governador - MDB)","Flávio Bolsonaro","Rose de Freitas"
"2026/05/26 8:29:03 PM GMT-3","Elvira","60 ou mais anos","Feminino","1- Fundamental Incompleto","Palmital","Boa","Bom Prefeito","Saúde;Assistência Social","Educação;Limpeza Pública;Segurança","Depende do Candidato","Depende do Candidato","NS/NR","Lula","Renato Casagrande"
"2026/05/26 8:30:25 PM GMT-3","Elvira","45 a 59 anos","Masculino","1- Fundamental Incompleto","Palmital","Regular","Bom Prefeito","","Saúde;Assistência Social;Limpeza Pública","Depende do Candidato","Depende do Candidato","Pazolini (ex-prefeito de Vitória - Republicanos)","Lula","Renato Casagrande"
"2026/05/26 8:31:29 PM GMT-3","Elvira","45 a 59 anos","Feminino","4- Ensino Medio Completo","Palmital","Regular","Ótimo Prefeito","Educação;Limpeza Pública","Saúde;Assistência Social;Segurança","Sim","Sim","NS/NR","Flávio Bolsonaro","NS/NR"
"2026/05/26 8:32:15 PM GMT-3","Elvira","25 a 34 anos","Masculino","5- Superior Incompleto","Palmital","Regular","Regular","Saúde;Assistência Social","Agricultura;Limpeza Pública;Segurança","Depende do Candidato","Depende do Candidato","NS/NR","NS/NR","NS/NR"
"2026/05/26 8:33:21 PM GMT-3","Elvira","45 a 59 anos","Masculino","5- Superior Incompleto","Palmital","Regular","Bom Prefeito","Limpeza Pública;Pesca","Saúde;Agricultura;Segurança","Não","Não","Pazolini (ex-prefeito de Vitória - Republicanos)","Flávio Bolsonaro","Serginho Meneguelli"
"2026/05/26 8:34:12 PM GMT-3","Elvira","45 a 59 anos","Masculino","1- Fundamental Incompleto","Palmital","Boa","Bom Prefeito","Saúde;Agricultura","Assistência Social;Limpeza Pública;Segurança","Sim","Sim","NS/NR","Flávio Bolsonaro","NS/NR"
"2026/05/26 8:35:03 PM GMT-3","Elvira","16 a 24 anos","Masculino","4- Ensino Medio Completo","Vargem Grande","Boa","Bom Prefeito","Saúde;Limpeza Pública","Educação;Pesca;Segurança","Sim","Sim","NS/NR","Flávio Bolsonaro","Renato Casagrande"
"2026/05/26 8:35:52 PM GMT-3","Elvira","45 a 59 anos","Masculino","4- Ensino Medio Completo","Vargem Grande","Regular","Bom Prefeito","Limpeza Pública;Segurança","Saúde;Educação;Assistência Social","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Lula","Renato Casagrande"
"2026/05/26 8:36:53 PM GMT-3","Elvira","45 a 59 anos","Feminino","5- Superior Incompleto","Vargem Grande","Boa","Bom Prefeito","Educação;Limpeza Pública","Saúde;Assistência Social;Segurança","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","NS/NR","Renato Casagrande"
"2026/05/26 8:41:48 PM GMT-3","Elvira","45 a 59 anos","Feminino","1- Fundamental Incompleto","Bom Será","Ruim","Regular","Agricultura;Limpeza Pública","Saúde;Educação;Assistência Social","Não","Não","Ricardo Ferraço (Governador - MDB)","Lula","Renato Casagrande"
"2026/05/26 8:43:04 PM GMT-3","Elvira","45 a 59 anos","Feminino","1- Fundamental Incompleto","Bom Será","Ruim","Regular","Limpeza Pública;Pesca","Saúde;Educação;Segurança","Não","Não","Ricardo Ferraço (Governador - MDB)","Lula","Renato Casagrande"
"2026/05/26 8:43:49 PM GMT-3","Elvira","16 a 24 anos","Feminino","5- Superior Incompleto","Bom Será","Boa","Bom Prefeito","Agricultura;Segurança","Saúde;Educação;Assistência Social","Não","Não","NS/NR","Flávio Bolsonaro","NS/NR"
"2026/05/26 8:44:34 PM GMT-3","Elvira","60 ou mais anos","Masculino","1- Fundamental Incompleto","Bom Será","Ruim","Bom Prefeito","Limpeza Pública;Segurança","Saúde;Agricultura;Pesca","Não","Não","Branco/Nulo","Nenhum Deles","Branco/Nulo"
"2026/05/26 8:45:12 PM GMT-3","Elvira","60 ou mais anos","Feminino","1- Fundamental Incompleto","Bom Será","Boa","Ótimo Prefeito","Saúde;Assistência Social","Agricultura;Limpeza Pública;Pesca","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Lula","Rose de Freitas"
"2026/05/26 8:46:05 PM GMT-3","Elvira","25 a 34 anos","Feminino","4- Ensino Medio Completo","Retiro","Boa","Bom Prefeito","Educação;Limpeza Pública","Saúde;Assistência Social;Segurança","Sim","Sim","NS/NR","Nenhum Deles","NS/NR"
"2026/05/26 8:47:02 PM GMT-3","Elvira","60 ou mais anos","Masculino","2- Fundamental Completo","Retiro","Regular","Bom Prefeito","Educação;Agricultura","Assistência Social;Limpeza Pública;Pesca","Não","Não","Pazolini (ex-prefeito de Vitória - Republicanos)","Flávio Bolsonaro","NS/NR"
"2026/05/26 8:47:53 PM GMT-3","Elvira","16 a 24 anos","Feminino","5- Superior Incompleto","Retiro","Regular","Ótimo Prefeito","Saúde;Assistência Social","Educação;Assistência Social;Segurança","Não","Não","NS/NR","Flávio Bolsonaro","NS/NR"
"2026/05/26 8:48:47 PM GMT-3","Elvira","60 ou mais anos","Feminino","1- Fundamental Incompleto","Retiro","Regular","Bom Prefeito","Saúde;Limpeza Pública","Educação;Agricultura;Segurança","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Nenhum Deles","Renato Casagrande"
"2026/05/26 8:49:37 PM GMT-3","Elvira","60 ou mais anos","Masculino","1- Fundamental Incompleto","Retiro","Boa","Bom Prefeito","Saúde;Educação","Agricultura;Limpeza Pública;Pesca","Não","Não","Ricardo Ferraço (Governador - MDB)","Lula","Rose de Freitas"
"2026/05/26 8:50:36 PM GMT-3","Elvira","35 a 44 anos","Masculino","1- Fundamental Incompleto","Beira Rio","Boa","","Educação;Limpeza Pública","Saúde;Educação;Agricultura","Não","Não","Pazolini (ex-prefeito de Vitória - Republicanos)","Flávio Bolsonaro","Maguinha Malta (filha do Senador Magno Malta)"
"2026/05/26 8:51:20 PM GMT-3","Elvira","60 ou mais anos","Masculino","1- Fundamental Incompleto","Beira Rio","Boa","","Educação;Limpeza Pública","Saúde;Educação;Limpeza Pública","Não","Não","Pazolini (ex-prefeito de Vitória - Republicanos)","Lula","Maguinha Malta (filha do Senador Magno Malta)"
"2026/05/26 8:52:19 PM GMT-3","Elvira","35 a 44 anos","Feminino","2- Fundamental Completo","Beira Rio","Boa;Ruim","Bom Prefeito","Educação;Limpeza Pública","Saúde;Educação;Limpeza Pública","Não","Não","NS/NR","Nenhum Deles","NS/NR"
"2026/05/26 8:53:13 PM GMT-3","Elvira","25 a 34 anos","Feminino","2- Fundamental Completo","Beira Rio","Ruim","Bom Prefeito","","Saúde;Educação;Limpeza Pública","Não","Não","NS/NR","Nenhum Deles","Serginho Meneguelli"
"2026/05/26 8:54:00 PM GMT-3","Elvira","25 a 34 anos","Masculino","2- Fundamental Completo","Beira Rio","Boa","Ótimo Prefeito","Assistência Social;Agricultura","Saúde;Educação;Segurança","Não","Não","Ricardo Ferraço (Governador - MDB)","Lula","Renato Casagrande"
"2026/05/26 8:55:21 PM GMT-3","Elvira","25 a 34 anos","Masculino","1- Fundamental Incompleto","Beira Rio","NS/NR","Bom Prefeito","Saúde;Limpeza Pública","Educação;Pesca;Segurança","Não","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Flávio Bolsonaro","Renato Casagrande"
"2026/05/26 8:56:13 PM GMT-3","Elvira","60 ou mais anos","Feminino","2- Fundamental Completo","Bom Será","Ótima","Bom Prefeito","Educação;Limpeza Pública","Saúde;Assistência Social;Segurança","Não","Não","NS/NR","Nenhum Deles","Serginho Meneguelli"
"2026/05/26 8:57:11 PM GMT-3","Elvira","45 a 59 anos","Masculino","1- Fundamental Incompleto","Bom Será","Boa","Bom Prefeito","Saúde;Educação","Assistência Social;Agricultura;Segurança","Não","Não","Ricardo Ferraço (Governador - MDB)","Lula","Renato Casagrande"
"2026/05/26 8:57:53 PM GMT-3","Elvira","60 ou mais anos","Feminino","1- Fundamental Incompleto","Bom Será","Boa","Bom Prefeito","Saúde;Limpeza Pública","Saúde;Assistência Social;Limpeza Pública","Não","Não","Ricardo Ferraço (Governador - MDB)","Flávio Bolsonaro","Maguinha Malta (filha do Senador Magno Malta)"
"2026/05/26 8:58:40 PM GMT-3","Elvira","60 ou mais anos","Feminino","1- Fundamental Incompleto","Bom Será","Boa","Bom Prefeito","Saúde;Limpeza Pública","Saúde;Agricultura;Segurança","Não","Não","Ricardo Ferraço (Governador - MDB)","Flávio Bolsonaro","Maguinha Malta (filha do Senador Magno Malta)"
"2026/05/26 9:01:15 PM GMT-3","Elvira","60 ou mais anos","Feminino","4- Ensino Medio Completo","Vila","Boa","Bom Prefeito","Saúde;Limpeza Pública","Saúde;Assistência Social;Segurança","Depende do Candidato","Depende do Candidato","NS/NR","Lula","Renato Casagrande"
"2026/05/26 9:02:06 PM GMT-3","Elvira","16 a 24 anos","Feminino","4- Ensino Medio Completo","Vila","Boa","Bom Prefeito","Educação;Limpeza Pública","Saúde;Assistência Social;Segurança","Depende do Candidato","Depende do Candidato","NS/NR","Lula","Renato Casagrande"
"2026/05/26 9:03:11 PM GMT-3","Elvira","60 ou mais anos","Masculino","1- Fundamental Incompleto","Vila","Boa","Bom Prefeito","Assistência Social;Limpeza Pública","Saúde;Educação;Agricultura","Não","Não","NS/NR","Lula","Contarato"
"2026/05/26 9:03:51 PM GMT-3","Elvira","35 a 44 anos","Masculino","4- Ensino Medio Completo","Vila","Regular","Regular","","Saúde;Assistência Social;Segurança","Não","Não","Ricardo Ferraço (Governador - MDB)","Lula","Contarato"
"2026/05/26 9:04:43 PM GMT-3","Elvira","25 a 34 anos","Masculino","3- Ensino Medio Incompleto","Vila","Boa","Bom Prefeito","Saúde;Educação","Saúde;Educação;Assistência Social","Sim","Sim","Ricardo Ferraço (Governador - MDB)","Nenhum Deles","Maguinha Malta (filha do Senador Magno Malta)"
"2026/05/26 9:07:15 PM GMT-3","Elvira","35 a 44 anos","Feminino","7- Pos-graduacao +","Vila","Regular","","Assistência Social;Segurança","Saúde;Educação;Limpeza Pública","Depende do Candidato","Depende do Candidato","NS/NR","NS/NR","NS/NR"
"2026/05/26 9:07:55 PM GMT-3","Elvira","16 a 24 anos","Masculino","4- Ensino Medio Completo","Vila","Regular","Bom Prefeito","Assistência Social","Saúde;Educação;Segurança","Depende do Candidato","Depende do Candidato","Pazolini (ex-prefeito de Vitória - Republicanos)","Flávio Bolsonaro","NS/NR"
"2026/05/26 9:08:34 PM GMT-3","Elvira","25 a 34 anos","Feminino","2- Fundamental Completo","Vila","Regular","Bom Prefeito","Assistência Social","Saúde;Educação;Segurança","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Flávio Bolsonaro","Renato Casagrande"
"2026/05/26 9:09:29 PM GMT-3","Elvira","60 ou mais anos","Masculino","1- Fundamental Incompleto","Campo Acima","Boa","Bom Prefeito","Limpeza Pública;Segurança","Saúde;Educação;Assistência Social","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Flávio Bolsonaro","Renato Casagrande"
"2026/05/26 9:11:35 PM GMT-3","Elvira","60 ou mais anos","Feminino","1- Fundamental Incompleto","Campo Acima","Boa","Ótimo Prefeito","Saúde;Educação","Assistência Social;Limpeza Pública;Segurança","Sim","Sim","Ricardo Ferraço (Governador - MDB)","Flávio Bolsonaro","Renato Casagrande"
"2026/05/26 9:12:40 PM GMT-3","Elvira","60 ou mais anos","Masculino","1- Fundamental Incompleto","Vila","Boa","","Saúde;Limpeza Pública","Saúde;Educação;Segurança","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Lula","Renato Casagrande"
"2026/05/26 9:13:21 PM GMT-3","Elvira","35 a 44 anos","Feminino","2- Fundamental Completo","Vila","Regular","","Saúde;Educação","Educação;Assistência Social;Segurança","Não","Não","Ricardo Ferraço (Governador - MDB)","Flávio Bolsonaro","Renato Casagrande"
"2026/05/26 9:14:12 PM GMT-3","Elvira","60 ou mais anos","Feminino","1- Fundamental Incompleto","Vila","Ótima","","Saúde;Educação","Saúde;Assistência Social;Segurança","Depende do Candidato","Depende do Candidato","NS/NR","Flávio Bolsonaro","Maguinha Malta (filha do Senador Magno Malta)"
"2026/05/26 9:14:50 PM GMT-3","Elvira","60 ou mais anos","Feminino","1- Fundamental Incompleto","Vila","Ótima","Bom Prefeito","Saúde;Assistência Social","Saúde;Assistência Social;Segurança","Depende do Candidato","Depende do Candidato","NS/NR","Flávio Bolsonaro","Maguinha Malta (filha do Senador Magno Malta)"
"2026/05/26 9:15:31 PM GMT-3","Elvira","16 a 24 anos","Masculino","1- Fundamental Incompleto","Vila","Regular","Bom Prefeito","Educação;Segurança","Saúde;Limpeza Pública;Pesca","Sim","Sim","Ricardo Ferraço (Governador - MDB)","Lula","Renato Casagrande"
